timestamp,user_id,members,mentions,number_message
28/06/2017,5,23 26,0,3
28/06/2017,6,4,6,7
28/06/2017,6,9,0,5
28/06/2017,6,11,0,4
28/06/2017,6,56,0,1
28/06/2017,6,63,0,2
28/06/2017,6,83,0,1
28/06/2017,6,138,0,1
28/06/2017,6,141,0,1
28/06/2017,6,145 146,6,1
28/06/2017,6,4 9,0,3
28/06/2017,6,69 11 83,0,10
28/06/2017,6,83 141,0,1
28/06/2017,6,9 83 138,0,1
28/06/2017,9,4,0,2
28/06/2017,9,6,0,6
28/06/2017,9,14,0,3
28/06/2017,9,50,0,3
28/06/2017,9,53,0,1
28/06/2017,9,69,0,1
28/06/2017,9,33 53 66,0,2
28/06/2017,9,4 6,0,3
28/06/2017,10,3,0,13
28/06/2017,10,81,0,3
28/06/2017,10,83,0,2
28/06/2017,10,138,0,1
28/06/2017,10,143,0,1
28/06/2017,11,6,0,3
28/06/2017,11,56,0,1
28/06/2017,11,69 6 83,6,7
28/06/2017,12,47,0,2
28/06/2017,12,51 42 47,0,1
28/06/2017,14,9,0,3
28/06/2017,14,16,14,6
28/06/2017,14,79,0,3
28/06/2017,16,14,16,1
28/06/2017,16,16,56 16,5
28/06/2017,16,83,0,2
28/06/2017,16,4 6 83,0,1
28/06/2017,17,83,17,8
28/06/2017,23,4,0,12
28/06/2017,23,5,0,30
28/06/2017,23,26,0,10
28/06/2017,23,32 56,0,1
28/06/2017,23,5 26,0,3
28/06/2017,26,23,0,12
28/06/2017,26,51,0,4
28/06/2017,26,23 5,0,1
28/06/2017,27,5,27,1
28/06/2017,27,146,0,6
28/06/2017,33,9,0,1
28/06/2017,33,53,0,2
28/06/2017,33,9 53 66,0,1
28/06/2017,47,12,0,1
28/06/2017,47,12 51 42,0,2
28/06/2017,50,4,50,3
28/06/2017,50,9,0,2
28/06/2017,50,56,0,2
28/06/2017,50,58,50,1
28/06/2017,50,59,0,6
28/06/2017,51,26,0,1
28/06/2017,51,12 42 47,51,1
28/06/2017,53,3,0,2
28/06/2017,53,4,0,1
28/06/2017,53,33,0,4
28/06/2017,53,79,0,3
28/06/2017,53,80,0,17
28/06/2017,53,9 33 66,0,1
28/06/2017,56,4,0,2
28/06/2017,56,6,0,5
28/06/2017,56,11,0,3
28/06/2017,56,50,0,4
28/06/2017,56,23 32,0,1
28/06/2017,59,50,0,8
28/06/2017,63,83,0,10
28/06/2017,63,85,0,2
28/06/2017,66,143,0,5
28/06/2017,69,83,0,5
28/06/2017,69,11 6 83,0,3
28/06/2017,74,3,74,6
28/06/2017,74,83,0,15
28/06/2017,79,3,0,4
28/06/2017,79,16,79,12
28/06/2017,79,53,79,7
28/06/2017,79,83,79,7
28/06/2017,79,127,0,1
28/06/2017,79,145,0,2
28/06/2017,80,53,0,5
28/06/2017,81,4,0,1
28/06/2017,81,10,0,7
28/06/2017,81,143,81,10
28/06/2017,83,4,0,1
28/06/2017,83,6,0,2
28/06/2017,83,9,0,1
28/06/2017,83,10,0,6
28/06/2017,83,16,0,4
28/06/2017,83,17,0,8
28/06/2017,83,63,0,10
28/06/2017,83,69,0,8
28/06/2017,83,74,0,7
28/06/2017,83,79,0,3
28/06/2017,83,53 14,0,1
28/06/2017,83,6 141,0,1
28/06/2017,83,69 11 6,0,8
28/06/2017,83,69 6,0,1
28/06/2017,83,9 6 138,0,1
28/06/2017,85,63,0,4
28/06/2017,138,10,0,1
28/06/2017,138,141,0,3
28/06/2017,141,6,0,1
28/06/2017,141,138,0,4
28/06/2017,141,6 83,0,2
28/06/2017,143,10,0,1
28/06/2017,143,66,0,10
28/06/2017,143,81,0,6
28/06/2017,143,154,0,1
28/06/2017,145,79,0,2
28/06/2017,145,146,145,4
28/06/2017,146,27,0,3
28/06/2017,146,83,0,2
28/06/2017,146,145,146,5
28/06/2017,146,6 145,0,1
28/06/2017,152,153,0,2
28/06/2017,153,152,0,1
28/06/2017,154,143,0,1
29/06/2017,3,4,0,1
29/06/2017,3,9,0,11
29/06/2017,3,10,0,15
29/06/2017,3,16,3,17
29/06/2017,3,23,0,2
29/06/2017,3,56,3,8
29/06/2017,3,9 50,0,2
29/06/2017,4,3,0,1
29/06/2017,4,6,4,4
29/06/2017,4,9,0,3
29/06/2017,4,16,0,2
29/06/2017,4,23,0,1
29/06/2017,4,50,0,4
29/06/2017,4,59,0,1
29/06/2017,4,74,0,1
29/06/2017,4,81,0,1
29/06/2017,4,152,0,1
29/06/2017,4,59 56,0,1
29/06/2017,5,23,0,63
29/06/2017,5,47,5,12
29/06/2017,6,4,0,1
29/06/2017,6,6,0,6
29/06/2017,6,63,0,1
29/06/2017,6,66,0,1
29/06/2017,6,90,0,2
29/06/2017,6,9 83,0,1
29/06/2017,9,3,0,10
29/06/2017,9,4,0,5
29/06/2017,9,83,0,1
