timestamp,user_id,members,mentions,message_number
01/07/2017,XXXXX,17,0,2
01/07/2017,XXXXX,51,0,8
01/07/2017,XXXXX,12,0,8
01/07/2017,XXXXX,6,0,2
01/07/2017,XXXXX,6,0,1
01/07/2017,XXXXX,6,0,2
02/07/2017,4,10 6 81,0 0 0,1 1 1
02/07/2017,XXXXX,4,0,1
02/07/2017,XXXXX,26,0,2
02/07/2017,XXXXX,141,0,2
02/07/2017,XXXXX,152,0,14
02/07/2017,XXXXX,83,0,1
02/07/2017,XXXXX,138,0,13
03/07/2017,3,4 5 56 10 65 9,0 0 0 0 0 0,3 74 1 14 1 2
03/07/2017,4,6 10 50 3 81 83 52 59 9,0 0 0 4 0 0 0 0 0,2 4 6 2 1 1 3 1 1
03/07/2017,XXXXX,3 26 47,0 0 0,50 1 14
03/07/2017,6,9 4 83 56,0 0,10 2
03/07/2017,9,69 56 6 3 4 11 14 81 33 83,0 0 0 0 0 0 0 0,1 4 6 2 1 2 1 2
03/07/2017,10,3 4 5 16 17 143 154,10 10 0 10 0 0 0,13 4 2 10 3 2 7
03/07/2017,XXXXX,81 69 56,0 69 0,1 2 5
03/07/2017,XXXXX,42 47 51,0 0,7 1
03/07/2017,14,11 85 16 10 9 92 74 62,0 0 14 0 0 0 0 0,6 1 1 2 1 2 2 1
03/07/2017,XXXXX,83 14 79 10 74,0 0 16 16 16,8 1 8 3 2
03/07/2017,17,10 152 83 62,10 62 17 0 0,8 24 5 1
03/07/2017,XXXXX,147 26,23 0,47 7
03/07/2017,XXXXX,23 5 51,26 26 0,2 62 4
03/07/2017,XXXXX,73 62,0 0,1 1
03/07/2017,33,9,0,3
03/07/2017,XXXXX,12 50 47 51,0 0,3 1
03/07/2017,XXXXX,12 51 5 42,0 47 51,9 16
03/07/2017,50,62 4 23 42,0 50 0 0,1 1 1 1
03/07/2017,51,26 42 12 47,51 0 47,12 1 4
03/07/2017,XXXXX,4,0,2
03/07/2017,53,85,0,4
03/07/2017,56,3 11 147 59 74,0 0 56 0 0,2 1 6 1 1
03/07/2017,59,62 4 56 63,0 0 0 0,11 2 6 3
03/07/2017,62,32 14 50 17 59 9,0 0 0 0 0 0,2 2 16 2 3 5
03/07/2017,63,85 59,0 0,4 2
03/07/2017,65,10 3,0,3
03/07/2017,XXXXX,81,0,4
03/07/2017,69,11 83 6 9 74,69 0 69 69 83 6,4 3 8 17 3
03/07/2017,74,69 83 56 147 79 16,0 0 74 0 0 74,6 1 7 9 3 3
03/07/2017,79,83 74 141,0 0 0,13 2 7
03/07/2017,XXXXX,66 11 4 9,0 0 81 9,2 7 7 2
03/07/2017,83,69 6 79 74 4 17 9 141,0 0 0 83 0 0 0 0 0,2 1 7 20 2 4 3 1 2
03/07/2017,85,53 14 6 90 63 92,0 85 0 0 0 0,1 1 1 3 1 4
03/07/2017,90,85,0,2
03/07/2017,92,85,0,6
03/07/2017,141,6 83 79,141 0 0,5 7 4
03/07/2017,143,66 14 10 154,0 0 0 0 10 143,1 1 1 2 12
03/07/2017,XXXXX,23,0,4
03/07/2017,XXXXX,17,0,2
03/07/2017,XXXXX,10 143,0 0,6 2
04/07/2017,3,83 147 6 10 65 63,0 0 3 0 0 0,26 12 12 19 11 5
04/07/2017,4,11 56 6 10 50 26 59,4 0 0 0 4 0 0,1 1 1 2 16 1 1
04/07/2017,XXXXX,47 23 51,0 0 0,11 8 1
04/07/2017,6,3 11 85 83 69 90 141,0 0 0 6 0 0 0,17 2 2 1 2 1 1
04/07/2017,9,66 14 53 33 147 138 50,0 0 0 9 33,2 1 1 6 4
04/07/2017,10,3 4 138 16 65,0 0 0 0 0,15 2 4 6 5
04/07/2017,11,50 6 4 141,50 0,2 1
04/07/2017,XXXXX,51,0,1
04/07/2017,14,9 74 53 79,0 0 0 0,1 3 2 4
04/07/2017,16,147 138 10 26 74,0 0 16 0 0,6 6 7 6 2
04/07/2017,XXXXX,5 147 50 26 59,23 0 0 0 0,8 2 4 6 2
04/07/2017,XXXXX,4 23 16 51 82,0 0 0 0 0,3 9 5 2 1
04/07/2017,32,62 59,0 32,1 3
04/07/2017,33,9 66 53,0 66,3 3
04/07/2017,XXXXX,12 47 51,0,1
04/07/2017,XXXXX,5 51 42 12,0 0 0,6 2 1
04/07/2017,50,11 4 147 23 51 59 62,0 50 0 0 0 50 0 0,2 5 6 1 4 8 3 2
04/07/2017,51,5 26 42 12 47 62,0 0 0 51 0,1 1 3 3 4
04/07/2017,XXXXX,74 14,0 0,5 2
04/07/2017,XXXXX,147 4 59,0 0,3 1
04/07/2017,XXXXX,4 32 73 56 23 50,0 0 59 0 0 0,24 11 3 11 6 1
04/07/2017,XXXXX,50 32 51,0 62 0,1 16 6
04/07/2017,63,147 3,0 3,6 5
04/07/2017,65,10 3,65,5
04/07/2017,XXXXX,81 53 33 143 9,0 0 0 0,1 1 2 5
04/07/2017,XXXXX,32 59,73 0,1 3
04/07/2017,74,83 53 14 147 16,0 74 0 0 0,6 9 4 9 7
04/07/2017,XXXXX,14 141,0 0,5 3
04/07/2017,XXXXX,26,0,1
04/07/2017,83,3 69 6 138 74 141,0 0 0 0 0 6,20 1 6 6 10 1
04/07/2017,XXXXX,6,0,3
04/07/2017,XXXXX,6,0,3
04/07/2017,138,10 83 16,0 0 0,7 4 4
04/07/2017,141,11 6 83 79,0 0 0,1 17 1
04/07/2017,143,10 66 154,0 0 0,1 3 1
04/07/2017,XXXXX,56 23 10 50 63 74 3 16 9,0 0 0 0 0 0 0 0 0,18 5 1 1 2 4 5 9 10
04/07/2017,XXXXX,143,0,1
05/07/2017,3,4 56 6 10 17 63 9,0 0 0 0 0 0 0,9 19 3 15 4 5 7
